benchmark,mesh_strategy,physics_variant,kappa,num_nodes,num_triangles,energy,normalized_energy,boundary_error_l2_sq,bulk_error_l2_K,boundary_hhalf_norm,boundary_rate_ratio,iterations,residual_inf,accepted_step,solver,certified,solution_min,solution_max,max_bv_exponent_argument,exponential_clamp_active,exact_energy_constant,exact_constant_ratio
multi_junction_mixed,graded,asymmetric,0.0003,15045,29400,0.2101747223988999,0.02590998123216031,0.00015859663754732195,0.00042220887328083543,1.3279936061354745,0.06517174306901574,6.0,4.7852568343899706e-14,1.0,Newton,True,-0.19805929644300144,0.10283415944467206,33.090669313306705,False,0.07639437268410978,0.33916086122335093
multi_junction_mixed,graded,asymmetric,0.0001,15045,29400,0.27613063315135,0.029980502565520612,9.754393021907805e-05,0.0003367440025023957,1.5513315103451633,0.10590697659325364,6.0,6.072060951420809e-14,1.0,Newton,True,-0.19927745714985387,0.1311460219998041,33.19193501286735,False,0.07639437268410978,0.39244386087820615
multi_junction_mixed,graded,asymmetric,5e-05,15045,29400,0.32421300415187015,0.03273725568210002,6.675433433157964e-05,0.000278578002854051,1.69533943848251,0.13480975056001337,5.0,3.9378569849368716e-11,1.0,Newton,True,-0.1996167426892923,0.14914670471909275,33.22013981976087,False,0.07639437268410978,0.42852967478990045
multi_junction_mixed,graded,asymmetric,1e-05,15045,29400,0.46108715412407686,0.040049521342512155,1.978992438564929e-05,0.0001399943332353702,2.038466419591823,0.17189309915940174,6.0,8.278477556245001e-11,1.0,Newton,True,-0.19991339653996482,0.18643513036231524,33.244800654367275,False,0.07639437268410978,0.5242470084559324
multi_junction_mixed,graded,asymmetric,5e-06,15045,29400,0.5361918108193787,0.04392828278109016,1.0104944686081225e-05,8.910499529850311e-05,2.1879452748133024,0.16557241595283514,5.0,2.0874295347805827e-11,1.0,Newton,True,-0.19995479645684194,0.1940007746222113,33.24824222945727,False,0.07639437268410978,0.5750198769578658
multi_junction_mixed,graded,asymmetric,1e-06,15045,29400,0.808478268785239,0.05851960847868722,1.969654475827917e-06,2.4859921371121546e-05,2.51775956328078,0.14256834501801774,4000.0,0.1577875074605744,-1.0,L-BFGS-B,False,-0.2,0.19897294146881353,33.252,False,0.07639437268410978,0.7660198836983112
multi_junction_mixed,graded,asymmetric,5e-07,15045,29400,1.024872619870215,0.0706386930025177,9.58518643402291e-07,1.3810742377192822e-05,2.671917534576101,0.1321305748163288,4000.0,0.36187858784769017,-1.0,L-BFGS-B,False,-0.2,0.19949847924850098,33.252,False,0.07639437268410978,0.9246583291495595
multi_junction_mixed,graded,asymmetric,1e-07,15045,29400,2.3378596466446337,0.14504564914315007,1.9717020148872787e-07,3.409903804629401e-06,2.8770438548724955,0.12232847214615264,4000.0,2.0270706025556766,-1.0,L-BFGS-B,False,-0.2,0.2,33.252,False,0.07639437268410978,1.8986431074303451
multi_junction_mixed,graded,asymmetric,5e-08,15045,29400,3.924170547280393,0.23342536816631015,1.1493890534732421e-07,2.5172433847951107e-06,2.9222184972285365,0.13674052120862001,4000.0,4.147375909409576,-1.0,L-BFGS-B,False,-0.2,0.2,33.252,False,0.07639437268410978,3.0555309241365523
multi_junction_mixed,graded,asymmetric,1e-08,15045,29400,16.51944743528693,0.8967881081544924,6.064444302310469e-08,1.3291036480762334e-06,2.9965938835208012,0.3292193370378816,4000.0,21.107267336027352,-1.0,L-BFGS-B,False,-0.2,0.2,33.252,False,0.07639437268410978,11.738928885020172
